Index,Index_list
109776,"[47258, 88353, 52778, 5332, 79822, 34151, 39104, 59609, 7688, 72797]"
109777,"[105353, 106992, 67136, 98313, 28204, 53862, 97426, 44042, 37383, 15823]"
109778,"[31137, 103177, 1455, 73695, 96854, 89511, 62251, 98603, 38098, 75580]"
109779,"[37568, 48556, 35290, 4566, 34652, 33630, 59861, 19631, 89387, 83779]"
109780,"[96443, 84688, 49239, 66795, 57928, 98597, 25845, 106819, 85141, 40062]"
109781,"[102931, 90249, 37835, 51049, 97538, 103815, 97797, 69175, 89893, 53512]"
109782,"[87823, 54184, 18186, 36462, 87025, 85111, 68916, 20557, 63014, 1803]"
109783,"[80403, 49936, 22443, 42740, 58438, 79150, 54486, 101323, 88508, 96569]"
109784,"[91316, 84520, 104820, 83415, 91073, 85101, 106780, 6960, 17725, 21685]"
109785,"[5944, 4042, 28256, 107130, 81059, 30499, 94025, 88064, 62243, 12338]"
109786,"[3040, 21983, 42519, 28447, 47911, 108231, 64238, 70554, 40971, 61069]"
109787,"[19953, 64219, 8810, 19879, 104274, 29624, 89976, 61295, 95013, 104171]"
109788,"[17230, 53349, 53264, 102449, 35844, 18777, 28345, 66796, 99821, 71810]"
109789,"[40067, 8660, 89026, 100567, 47949, 47322, 104213, 17036, 99285, 16118]"
109790,"[39452, 1365, 91225, 49843, 88328, 1779, 82011, 53230, 83757, 13407]"
109791,"[55335, 31806, 64490, 61520, 20876, 44712, 3629, 38605, 46738, 74038]"
109792,"[31903, 57190, 44471, 103468, 59722, 80661, 27365, 46073, 47808, 13984]"
109793,"[109644, 4383, 21434, 8801, 82273, 68751, 58116, 83852, 8014, 27667]"
109794,"[4441, 14140, 91080, 3301, 88749, 86088, 1885, 81228, 92440, 96285]"
109795,"[15187, 16728, 52636, 18858, 96767, 2168, 43133, 18598, 55344, 1045]"
109796,"[43271, 28479, 52119, 30100, 19383, 79448, 43942, 12595, 59096, 50837]"
109797,"[68214, 15944, 34964, 86935, 38042, 84001, 66828, 33974, 94401, 57212]"
109798,"[70616, 108395, 69551, 109122, 77597, 53378, 70926, 97807, 67685, 56956]"
109799,"[80731, 60252, 53019, 67994, 5663, 96339, 91190, 108654, 90370, 88444]"
109800,"[26751, 2306, 37790, 5738, 43387, 84192, 84476, 4694, 41438, 33436]"
109801,"[85051, 74139, 29125, 6346, 33643, 108695, 62490, 226, 58231, 74342]"
109802,"[26000, 90602, 92979, 83550, 18895, 63043, 52922, 36890, 100411, 86241]"
109803,"[57636, 30151, 83477, 76676, 103406, 72769, 5794, 67479, 13365, 42770]"
109804,"[31025, 61312, 91757, 52110, 87847, 12234, 51912, 11841, 39514, 67394]"
109805,"[5400, 44305, 44064, 33212, 74124, 23904, 74435, 17637, 97949, 65476]"
109806,"[108948, 46122, 92585, 590, 36663, 12513, 32756, 25873, 91015, 103658]"
109807,"[16587, 63910, 72575, 21668, 50741, 16387, 22276, 90326, 57508, 55181]"
109808,"[107829, 75390, 21192, 26748, 42578, 105254, 51110, 88162, 10343, 65598]"
109809,"[56714, 69486, 46207, 27184, 93496, 62359, 71450, 66731, 47557, 21325]"
109810,"[16688, 83138, 95198, 98217, 107570, 31360, 29568, 36518, 55605, 79679]"
109811,"[108497, 61790, 107949, 89322, 80456, 1853, 38970, 29958, 102520, 724]"
109812,"[2252, 9541, 11557, 103645, 102648, 13552, 80605, 71374, 52679, 90569]"
109813,"[84720, 88275, 30169, 19444, 82012, 103871, 24787, 69858, 42485, 14037]"
109814,"[108126, 46787, 48765, 64205, 11482, 79428, 108812, 91402, 68715, 103817]"
109815,"[65622, 41776, 101091, 52604, 48709, 31315, 81295, 27879, 60317, 43977]"
109816,"[69701, 63543, 308, 85274, 6239, 92690, 64382, 66263, 96037, 73363]"
109817,"[95107, 43556, 27451, 65329, 95202, 24736, 23102, 47604, 35201, 15753]"
109818,"[66348, 33474, 60617, 87805, 37931, 98402, 11253, 21622, 60389, 83311]"
109819,"[22473, 97032, 90983, 78890, 20480, 41884, 82952, 45231, 40172, 61792]"
109820,"[78980, 33284, 1493, 104946, 80602, 7573, 57369, 45795, 97355, 78728]"
109821,"[52763, 46213, 5371, 19089, 35474, 40662, 36719, 52300, 67674, 87303]"
109822,"[85889, 79226, 68921, 30030, 5490, 4377, 94923, 54956, 58962, 98318]"
109823,"[19383, 12595, 79448, 70273, 43271, 52119, 43942, 58052, 28479, 30100]"
109824,"[26438, 102042, 23253, 8453, 92575, 102780, 92449, 3122, 86748, 95539]"
109825,"[10589, 68908, 3343, 80509, 50673, 75053, 45854, 104037, 31875, 28095]"
109826,"[30745, 17993, 34289, 8408, 35820, 91965, 69792, 4094, 47720, 19349]"
109827,"[17024, 14364, 36767, 38085, 103590, 84229, 2018, 72395, 88037, 55596]"
109828,"[104755, 89284, 5064, 68026, 96879, 17622, 72336, 6264, 23273, 51278]"
109829,"[62848, 71430, 108742, 97403, 89556, 104962, 70778, 61242, 44282, 36673]"
109830,"[63875, 67879, 37566, 13727, 6073, 38540, 60270, 96777, 100881, 55670]"
109831,"[98544, 89877, 79295, 78038, 56870, 13482, 16652, 71995, 38100, 101829]"
109832,"[100179, 37575, 27364, 92202, 18546, 28390, 55224, 36164, 102381, 90293]"
109833,"[89764, 26747, 13676, 92613, 88917, 89989, 64290, 73442, 91662, 65233]"
109834,"[92885, 76053, 95558, 12038, 55326, 92784, 1610, 89900, 4747, 60298]"
109835,"[38323, 94740, 29348, 91750, 54543, 78825, 62741, 48563, 53682, 92259]"
109836,"[46937, 37776, 82682, 104064, 63610, 109558, 66550, 17254, 54023, 46271]"
109837,"[81523, 49955, 7502, 98385, 94837, 42969, 71998, 42431, 70445, 88577]"
109838,"[56692, 67503, 68787, 103272, 44621, 88576, 52437, 98568, 14959, 60981]"
109839,"[13548, 90062, 58586, 5573, 64131, 18442, 11984, 90261, 907, 58360]"
109840,"[28903, 90153, 90137, 27220, 38301, 91105, 20073, 77549, 37692, 94020]"
