Index,Index_list
109776,"[47258, 54730, 29734, 94371, 82668, 19894, 83368, 88353, 5332, 52778]"
109777,"[106992, 67136, 94927, 5906, 10444, 28477, 47208, 8286, 34244, 105353]"
109778,"[98603, 38098, 31137, 34689, 50126, 105233, 12594, 96231, 101241, 29235]"
109779,"[37568, 48556, 4566, 72850, 103603, 70377, 50655, 33163, 32984, 35290]"
109780,"[106819, 96443, 9305, 3221, 84688, 41948, 62790, 24801, 106673, 68308]"
109781,"[102931, 90249, 58815, 46344, 51183, 38767, 36781, 63049, 39372, 51049]"
109782,"[87823, 18186, 56862, 80772, 58012, 80052, 54184, 87025, 82203, 3853]"
109783,"[12766, 42607, 14109, 80403, 58438, 49936, 42740, 22443, 79150, 101323]"
109784,"[84520, 105943, 51951, 22105, 49360, 18822, 95925, 69783, 91316, 104820]"
109785,"[12082, 79813, 19538, 31022, 9247, 88554, 38471, 30053, 22677, 101062]"
109786,"[40971, 802, 41681, 32487, 28447, 21983, 3040, 42519, 47911, 15735]"
109787,"[74337, 81404, 83800, 95311, 8810, 19953, 64219, 19879, 104274, 89976]"
109788,"[98268, 7291, 102449, 35844, 99821, 18777, 53349, 66796, 104160, 41142]"
109789,"[8660, 40067, 17036, 5455, 67752, 86273, 16118, 39645, 87618, 13467]"
109790,"[13407, 25403, 80926, 22956, 29227, 91795, 39452, 1365, 49843, 91225]"
109791,"[74038, 30987, 80044, 6492, 30616, 26002, 55335, 61520, 64490, 19323]"
109792,"[80661, 27365, 64489, 31903, 26788, 90934, 83467, 77202, 19438, 13198]"
109793,"[52385, 27363, 109644, 4383, 21434, 18517, 29836, 42976, 35331, 16168]"
109794,"[4441, 93782, 35412, 45230, 26579, 57694, 35963, 29743, 109107, 14140]"
109795,"[15187, 80487, 16728, 52636, 18858, 2168, 18598, 43133, 73212, 15888]"
109796,"[6342, 43271, 17482, 19115, 82204, 14222, 69691, 50294, 28479, 9688]"
109797,"[94401, 68214, 15944, 108338, 78194, 7812, 98098, 76109, 97737, 98125]"
109798,"[5326, 56095, 70616, 109122, 69551, 56898, 92730, 66636, 78308, 108395]"
109799,"[60252, 17841, 26899, 80731, 53019, 96339, 79755, 82917, 96882, 55656]"
109800,"[46465, 27454, 50932, 46070, 97692, 50665, 70072, 81477, 57139, 99654]"
109801,"[100361, 90925, 10089, 28497, 85051, 74139, 29125, 6346, 27020, 10031]"
109802,"[38958, 84713, 29294, 36890, 26000, 90602, 67865, 64587, 23955, 18895]"
109803,"[77486, 16062, 57636, 8471, 31172, 57129, 41441, 5794, 105490, 71662]"
109804,"[31025, 96601, 69269, 61312, 91757, 52110, 87847, 12234, 107337, 4238]"
109805,"[20161, 5400, 44305, 23904, 32741, 73335, 61476, 74124, 44064, 33212]"
109806,"[9765, 42127, 71614, 33956, 23011, 61491, 23674, 108948, 46122, 92585]"
109807,"[22276, 16387, 27659, 16587, 70528, 70296, 3887, 58849, 10391, 78771]"
109808,"[10343, 5758, 65598, 16492, 585, 54753, 86386, 29091, 89639, 29030]"
109809,"[56714, 31005, 24869, 28603, 78747, 5925, 11018, 6495, 17698, 84919]"
109810,"[27286, 9766, 16688, 83138, 95198, 36518, 14610, 61191, 98217, 58423]"
109811,"[31619, 6973, 89627, 45754, 56651, 48171, 74965, 108497, 61790, 107949]"
109812,"[71738, 36876, 103645, 71374, 70400, 87146, 49815, 50649, 2252, 9541]"
109813,"[82012, 24787, 10579, 19257, 46156, 84720, 88275, 30169, 19444, 69776]"
109814,"[65204, 108126, 75626, 2165, 43930, 86943, 93376, 79063, 85624, 39243]"
109815,"[101382, 27992, 65622, 41776, 101091, 52604, 48709, 31315, 27879, 69969]"
109816,"[17908, 69701, 63738, 28628, 7273, 84470, 103783, 14941, 29119, 53205]"
109817,"[95107, 43556, 13833, 12077, 34980, 6913, 77570, 92897, 78210, 27451]"
109818,"[60389, 7726, 66348, 32134, 92275, 108003, 75368, 94915, 97230, 24921]"
109819,"[22473, 87273, 97032, 90983, 78890, 100933, 58666, 3960, 74648, 92956]"
109820,"[78980, 40670, 33284, 1493, 104946, 80602, 57369, 7573, 45795, 97355]"
109821,"[35474, 40662, 52763, 107150, 97269, 20553, 33098, 54170, 86759, 28489]"
109822,"[109658, 3048, 79226, 30030, 94923, 94389, 50320, 52900, 85889, 68921]"
109823,"[19383, 91059, 39434, 46069, 13409, 12536, 48065, 12595, 79448, 43942]"
109824,"[102042, 26438, 43635, 27750, 32444, 31373, 41460, 29693, 86330, 53811]"
109825,"[10589, 80509, 98059, 47653, 41240, 107260, 88784, 39193, 42390, 69333]"
109826,"[55094, 30745, 17993, 65587, 59965, 108848, 5114, 44199, 31849, 52298]"
109827,"[32800, 23591, 23740, 82444, 36767, 17024, 14364, 67570, 106833, 8284]"
109828,"[96879, 23273, 41300, 34065, 1862, 88535, 88578, 86829, 73719, 68128]"
109829,"[71430, 14106, 55961, 34322, 62848, 108742, 97403, 70778, 93327, 93203]"
109830,"[63875, 42584, 32622, 67879, 70168, 43565, 100881, 76743, 106530, 34415]"
109831,"[96007, 92397, 89431, 13132, 7189, 36614, 98544, 89877, 78038, 56870]"
109832,"[89632, 102381, 2921, 63597, 27498, 84686, 100179, 92202, 18546, 24734]"
109833,"[89764, 104106, 67379, 48884, 2851, 13676, 26747, 92613, 73442, 91662]"
109834,"[43073, 80332, 25685, 45930, 54613, 36402, 93502, 26647, 92885, 95558]"
109835,"[54543, 72293, 38323, 3888, 101185, 47852, 83769, 38704, 88851, 27670]"
109836,"[91688, 42125, 30505, 54023, 46271, 96534, 3356, 46937, 37776, 82682]"
109837,"[95753, 94190, 34839, 81523, 66826, 28999, 31335, 74577, 33969, 74140]"
109838,"[56692, 67503, 94244, 19389, 77092, 12584, 42147, 68787, 103272, 44621]"
109839,"[55561, 62486, 13548, 90062, 100800, 104174, 91759, 55781, 24503, 45678]"
109840,"[28903, 90153, 90137, 4488, 27220, 38301, 20073, 91105, 46228, 25631]"
109841,"[22676, 61552, 5360, 90984, 62855, 4506, 54038, 35475, 59181, 21730]"
109842,"[33690, 17765, 74729, 9181, 57106, 104712, 21084, 11622, 89328, 97713]"
109843,"[47442, 11158, 104637, 83216, 27012, 94219, 68068, 35714, 100432, 30243]"
109844,"[23610, 109331, 43170, 52765, 17111, 51300, 84672, 14173, 5831, 103631]"
109845,"[29832, 99743, 74981, 50836, 56843, 35811, 104400, 55761, 12116, 85819]"
109846,"[22645, 16549, 94917, 47755, 36449, 66415, 66745, 18565, 9453, 107200]"
109847,"[59316, 20800, 75160, 90520, 9787, 75760, 96484, 101747, 80745, 91003]"
109848,"[66917, 70342, 11829, 92508, 92914, 67532, 108901, 48088, 31763, 86632]"
109849,"[17608, 59707, 84284, 31275, 35399, 55545, 16479, 89994, 24854, 55926]"
109850,"[3765, 56994, 30070, 25588, 41674, 73854, 23515, 97157, 20729, 89059]"
109851,"[78759, 59725, 11938, 71470, 70686, 88604, 29563, 94545, 82477, 51350]"
109852,"[22515, 19527, 41219, 88398, 98484, 57539, 7834, 88241, 24368, 21880]"
109853,"[98531, 109283, 23062, 54222, 19236, 77534, 46551, 89779, 79930, 96411]"
109854,"[100548, 58718, 55241, 15891, 31229, 35358, 54508, 8906, 18480, 82655]"
109855,"[105176, 33751, 16047, 10319, 22203, 83757, 53230, 67111, 97447, 103713]"
109856,"[7340, 103118, 86327, 79854, 47913, 23754, 67681, 23546, 18523, 28815]"
109857,"[5586, 88343, 15125, 54142, 30620, 33371, 50493, 18715, 97234, 46112]"
109858,"[30299, 51450, 85262, 73606, 100228, 80414, 44188, 65543, 52332, 76148]"
109859,"[96052, 47946, 72296, 18505, 82531, 57232, 34205, 84606, 42749, 28658]"
109860,"[8488, 30546, 2063, 30242, 57646, 17767, 21117, 99966, 26274, 31394]"
109861,"[7114, 54104, 34933, 28794, 6717, 29327, 25495, 16751, 42877, 104893]"
109862,"[21615, 50469, 39212, 39686, 93641, 25232, 9769, 106272, 92266, 67768]"
109863,"[82917, 55656, 13030, 35067, 97419, 79755, 96882, 82103, 55734, 17841]"
109864,"[10780, 34614, 909, 48376, 40856, 35194, 38824, 30602, 28277, 35939]"
109865,"[34235, 9795, 39986, 12600, 12713, 54901, 19224, 87807, 8121, 5753]"
109866,"[101052, 109266, 28917, 87291, 101214, 212, 735, 79766, 87757, 40860]"
109867,"[82480, 55406, 26977, 14043, 86180, 71817, 101741, 12544, 40095, 84265]"
109868,"[74747, 59820, 46530, 5128, 18441, 3374, 8556, 47669, 25326, 37812]"
109869,"[87766, 23746, 58868, 71446, 60089, 29833, 14391, 21351, 69383, 86333]"
109870,"[20901, 31910, 57271, 20014, 37100, 103583, 43665, 45650, 66334, 74709]"
109871,"[2901, 69563, 23414, 100415, 46844, 83489, 9100, 6376, 103495, 31608]"
109872,"[59247, 70772, 98546, 73567, 106522, 98891, 29503, 50138, 69340, 70257]"
109873,"[9295, 56503, 49614, 494, 81939, 43978, 47199, 72476, 53145, 23854]"
109874,"[50977, 66622, 45449, 81578, 54424, 28870, 4170, 77273, 105850, 29370]"
109875,"[87663, 43069, 27882, 69146, 88694, 49803, 74654, 76225, 109311, 2932]"
109876,"[38106, 75049, 20164, 61920, 29442, 24633, 46579, 94722, 100014, 36737]"
109877,"[95920, 24567, 62989, 60395, 105026, 41926, 54301, 45636, 9095, 18960]"
109878,"[63665, 40117, 58655, 95885, 97867, 23167, 14744, 12090, 108980, 69709]"
109879,"[75952, 77468, 54267, 93467, 37549, 9224, 39552, 28995, 85463, 34067]"
109880,"[17941, 63475, 35368, 32984, 104550, 46888, 101776, 61183, 49333, 27888]"
109881,"[34051, 71813, 49856, 42736, 16654, 90210, 108148, 11836, 102534, 84917]"
109882,"[48912, 82602, 10713, 99741, 58879, 37824, 32573, 47044, 43432, 7464]"
109883,"[48360, 21349, 99446, 17156, 57424, 65153, 2232, 103238, 18576, 101187]"
109884,"[109007, 64283, 42113, 81702, 1772, 28992, 45487, 42288, 65904, 95003]"
109885,"[23869, 42403, 61288, 48960, 16685, 12716, 57247, 16806, 109476, 92788]"
109886,"[108718, 95272, 90325, 52448, 95571, 263, 46421, 22575, 56972, 102280]"
109887,"[101146, 68827, 66810, 52776, 85705, 23133, 90179, 17595, 101083, 45466]"
109888,"[96959, 84508, 34660, 38707, 32090, 7162, 46837, 61870, 12726, 50077]"
109889,"[89707, 73715, 40889, 107776, 54132, 23572, 82960, 20510, 37146, 79147]"
109890,"[79826, 66587, 66139, 56955, 104528, 51529, 93462, 100947, 22030, 36181]"
109891,"[65506, 21643, 80249, 92768, 107198, 70683, 99876, 61208, 68477, 10125]"
109892,"[68262, 65190, 70660, 79213, 46098, 48732, 77604, 66978, 89073, 70536]"
109893,"[47715, 31376, 52577, 77129, 6813, 82865, 55356, 15743, 95066, 53638]"
109894,"[78480, 62976, 31438, 59035, 106701, 93256, 11684, 53162, 22647, 27276]"
109895,"[18225, 107330, 96362, 65929, 35093, 22790, 103731, 3956, 52907, 105191]"
109896,"[109006, 74703, 85790, 45522, 9302, 86043, 23073, 105192, 29874, 46849]"
109897,"[96801, 24246, 10810, 32193, 88038, 103842, 29273, 45705, 12023, 48160]"
109898,"[40476, 49705, 22283, 10915, 3770, 43364, 55614, 16802, 36828, 99170]"
109899,"[23544, 88866, 74651, 15216, 53668, 76736, 66016, 41186, 101422, 74108]"
109900,"[70092, 97880, 46918, 98916, 48851, 98575, 20025, 61390, 92126, 82967]"
109901,"[98576, 51533, 27307, 97781, 21415, 57870, 74951, 22114, 94405, 23983]"
109902,"[3522, 48137, 36451, 37832, 53149, 7883, 625, 78444, 89401, 15790]"
109903,"[10300, 37828, 33985, 5203, 50450, 40541, 2099, 70582, 106173, 27248]"
109904,"[55390, 62093, 55591, 34089, 31739, 92053, 89174, 36496, 97923, 90483]"
109905,"[50524, 101758, 68320, 12450, 61702, 36393, 100334, 82314, 97429, 100172]"
109906,"[55259, 65123, 91130, 78245, 76249, 57588, 106054, 59104, 87875, 63663]"
109907,"[21471, 64376, 38043, 49558, 38975, 15045, 18282, 95765, 51035, 1416]"
109908,"[84618, 93320, 1761, 17289, 54967, 67645, 19678, 2681, 81640, 41980]"
109909,"[62064, 22193, 4735, 40314, 42883, 99174, 36237, 42122, 100399, 35565]"
109910,"[29375, 22270, 92737, 50161, 77, 10728, 93504, 90961, 38650, 87243]"
109911,"[74105, 92170, 71331, 39949, 40449, 24343, 5629, 59281, 31246, 16465]"
109912,"[5954, 86675, 50810, 56197, 80419, 79526, 34552, 33852, 47038, 90373]"
109913,"[95384, 44731, 82630, 2435, 102350, 44513, 98947, 108426, 48487, 40954]"
109914,"[61230, 36428, 31774, 81943, 38854, 64037, 106176, 61392, 53852, 3659]"
109915,"[98388, 43907, 21613, 35657, 109657, 21054, 101463, 99406, 81880, 9659]"
109916,"[93449, 1448, 96046, 46185, 37116, 13763, 14123, 107146, 46869, 105795]"
109917,"[68712, 20293, 72140, 79835, 39037, 85404, 74297, 57209, 60169, 29420]"
109918,"[89948, 22705, 72575, 57078, 101314, 57508, 30319, 98419, 52010, 35917]"
