Index,Index_list
109776,"[47258, 19894, 82668, 94371, 54730, 29734, 48536, 52778, 88353, 5332]"
109777,"[105353, 34244, 77897, 5906, 82556, 95449, 394, 28477, 52661, 87118]"
109778,"[31137, 38098, 34689, 98603, 105233, 50126, 89511, 5213, 62171, 103177]"
109779,"[37568, 103603, 72850, 70377, 33630, 48556, 34652, 10480, 62681, 4566]"
109780,"[106819, 9305, 41948, 24801, 106673, 62790, 66795, 40062, 25845, 96443]"
109781,"[46344, 58815, 36781, 51183, 63049, 39372, 38767, 37835, 97538, 90249]"
109782,"[87823, 54184, 80772, 56862, 9774, 3853, 94760, 58012, 82203, 83756]"
109783,"[12766, 42607, 42740, 49936, 22443, 98003, 40316, 43177, 68641, 80403]"
109784,"[49360, 51951, 105943, 22105, 18822, 62175, 104860, 107987, 91073, 85101]"
109785,"[5944, 50269, 79813, 9247, 22677, 38471, 19538, 88554, 5337, 70688]"
109786,"[40971, 42519, 47911, 52072, 107563, 10200, 3613, 28447, 21983, 3040]"
109787,"[8810, 19953, 64219, 104274, 25634, 42469, 35137, 83800, 2785, 99204]"
109788,"[98268, 18777, 66796, 53349, 35844, 99821, 102449, 11965, 81486, 58278]"
109789,"[8660, 5455, 7792, 39645, 13467, 86273, 16118, 17036, 58845, 64245]"
109790,"[39452, 13407, 80926, 25403, 29227, 22956, 57048, 105593, 75967, 92452]"
109791,"[74038, 30987, 64490, 55335, 61520, 53200, 65393, 18940, 2834, 58440]"
109792,"[27365, 80661, 64489, 72460, 77202, 83467, 26788, 90934, 85802, 13984]"
109793,"[109644, 52385, 102849, 18517, 29836, 105702, 27363, 42976, 67010, 40446]"
109794,"[4441, 88749, 102291, 18226, 80976, 70510, 26579, 93782, 90387, 40876]"
109795,"[15187, 16728, 80487, 15888, 36918, 68881, 73212, 59509, 45488, 28218]"
109796,"[43271, 6342, 19115, 17482, 14222, 38351, 93264, 53397, 9688, 8607]"
109797,"[94401, 108338, 78194, 7812, 84001, 68214, 831, 19632, 38572, 3156]"
109798,"[56898, 92730, 69551, 56956, 106892, 102170, 41919, 109122, 70926, 108395]"
109799,"[60252, 55656, 17841, 79755, 26899, 96882, 82917, 82103, 66282, 55734]"
109800,"[46465, 27454, 97692, 50932, 46070, 50665, 84192, 4694, 84476, 86263]"
109801,"[10031, 100361, 90925, 10089, 27020, 95943, 25430, 28497, 87603, 93433]"
109802,"[36890, 84713, 29294, 38958, 92979, 83550, 105651, 1238, 45766, 100872]"
109803,"[77486, 31172, 71662, 67626, 30865, 105490, 57129, 16062, 41441, 94920]"
109804,"[31025, 61312, 91757, 52110, 57666, 44975, 46654, 4238, 84150, 107337]"
109805,"[5400, 20161, 32741, 23953, 96988, 37004, 69703, 59292, 61476, 31479]"
109806,"[42127, 9765, 14585, 38551, 87317, 108948, 92585, 46122, 80188, 73255]"
