Index,Index_list
109776,"[47258, 29734, 54730, 19894, 82668, 94371, 48536, 88353, 5332, 52778]"
109777,"[105353, 5906, 47208, 8286, 10444, 34244, 28477, 77897, 394, 28474]"
109778,"[31137, 98603, 38098, 34689, 50126, 105233, 89511, 5213, 62171, 103177]"
109779,"[37568, 103603, 70377, 72850, 10480, 62681, 48556, 35290, 4566, 33630]"
109780,"[106819, 9305, 41948, 24801, 106673, 62790, 66795, 25845, 40062, 96443]"
109781,"[58815, 46344, 36781, 51183, 38767, 39372, 63049, 102931, 90249, 37835]"
109782,"[87823, 54184, 56862, 80772, 58012, 82203, 3853, 94760, 83756, 9774]"
109783,"[12766, 42607, 42740, 49936, 22443, 80403, 58438, 98003, 43177, 40316]"
109784,"[51951, 22105, 105943, 49360, 18822, 107987, 62175, 104860, 91316, 84520]"
109785,"[5944, 9247, 19538, 79813, 22677, 38471, 88554, 50269, 65098, 51692]"
109786,"[40971, 42519, 47911, 52072, 3613, 10200, 107563, 3040, 21983, 28447]"
109787,"[8810, 19953, 64219, 104274, 74337, 81404, 83800, 95311, 35137, 99204]"
109788,"[98268, 53349, 18777, 66796, 102449, 35844, 99821, 7291, 58278, 11965]"
109789,"[8660, 17036, 16118, 86273, 5455, 13467, 39645, 87618, 16992, 58845]"
109790,"[39452, 59754, 13407, 25403, 80926, 22956, 29227, 91795, 57048, 104710]"
109791,"[74038, 30987, 55335, 61520, 64490, 80044, 6492, 30616, 107736, 18940]"
109792,"[27365, 80661, 64489, 90934, 26788, 83467, 77202, 72460, 85802, 31903]"
109793,"[109644, 52385, 42976, 102849, 105702, 27363, 18517, 29836, 16168, 67010]"
109794,"[4441, 88749, 45230, 93782, 26579, 35412, 35963, 102291, 80976, 90387]"
109795,"[15187, 16728, 80487, 59509, 73212, 68881, 36918, 15888, 45488, 28218]"
109796,"[43271, 6342, 17482, 19115, 14222, 9688, 53397, 93264, 38351, 51022]"
109797,"[94401, 7812, 108338, 78194, 84001, 68214, 15944, 34964, 6977, 3156]"
109798,"[56898, 92730, 69551, 56956, 106892, 102170, 70616, 108395, 109122, 53378]"
109799,"[60252, 17841, 26899, 55656, 82917, 79755, 96882, 82103, 35067, 66282]"
109800,"[46465, 27454, 50932, 97692, 46070, 50665, 84476, 84192, 4694, 26751]"
109801,"[107393, 100361, 90925, 10089, 28497, 27020, 25430, 10031, 87603, 95943]"
109802,"[36890, 38958, 29294, 84713, 92979, 83550, 105651, 45766, 1238, 100872]"
109803,"[77486, 31172, 16062, 57129, 105490, 30865, 94920, 67626, 71662, 41441]"
109804,"[31025, 61312, 91757, 52110, 96601, 57666, 108142, 4238, 44975, 107337]"
109805,"[5400, 20161, 32741, 73335, 90058, 21882, 96988, 23953, 61476, 31479]"
109806,"[42127, 9765, 14585, 38551, 87317, 108948, 46122, 92585, 33956, 73255]"
109807,"[16587, 22276, 16387, 70528, 27659, 32630, 78771, 6447, 58849, 3887]"
109808,"[10343, 5758, 65598, 16492, 585, 89510, 82089, 51061, 104977, 107829]"
109809,"[56714, 24869, 28603, 31005, 78747, 5925, 69486, 46207, 27184, 66731]"
109810,"[16688, 83138, 36518, 14610, 61191, 31360, 29568, 13807, 42937, 10655]"
109811,"[45754, 56651, 89627, 89322, 80456, 1853, 108497, 61790, 107949, 30559]"
109812,"[103645, 71738, 36876, 70400, 87146, 49815, 23663, 98436, 3452, 33665]"
109813,"[84720, 82012, 24787, 10579, 80559, 69776, 75474, 51611, 63274, 34584]"
109814,"[108126, 65204, 2165, 43930, 79063, 86943, 39787, 93376, 75242, 85624]"
109815,"[65622, 41776, 101091, 52604, 48709, 31315, 101382, 27992, 47059, 17185]"
109816,"[17908, 84470, 63738, 28628, 53205, 7273, 103783, 54674, 95595, 14941]"
109817,"[43556, 95107, 12077, 13833, 77570, 34980, 6913, 27451, 65329, 24736]"
109818,"[60389, 32134, 108003, 63780, 75368, 97230, 94915, 24921, 105007, 95431]"
109819,"[22473, 87273, 92956, 95762, 74648, 71552, 56822, 64752, 19309, 11455]"
109820,"[78980, 40670, 67387, 42924, 14801, 33284, 1493, 104946, 80602, 7573]"
109821,"[52763, 35474, 40662, 107150, 54170, 20553, 97269, 33098, 86759, 76652]"
109822,"[109658, 94389, 53573, 54537, 52900, 10865, 50320, 74852, 32347, 27263]"
109823,"[91059, 39434, 58052, 19383, 12595, 79448, 70273, 43942, 48065, 12536]"
