Index,Index_list
109776,"[47258, 88353, 52778, 5332, 7688, 79822, 72797, 59609, 34151, 39104]"
109777,"[105353, 97426, 98313, 67136, 106992, 53862, 28204, 44042, 37383, 15823]"
109778,"[31137, 73695, 1455, 103177, 96854, 89511, 62251, 80861, 14328, 40341]"
109779,"[37568, 48556, 4566, 35290, 33630, 34652, 59861, 89387, 19631, 48172]"
109780,"[96443, 84688, 49239, 25845, 66795, 40062, 57928, 98597, 85141, 73036]"
109781,"[102931, 90249, 37835, 97538, 51049, 103815, 97797, 17413, 69175, 89893]"
109782,"[87823, 54184, 18186, 36462, 85111, 87025, 68916, 1803, 62699, 20557]"
109783,"[42740, 49936, 22443, 80403, 79150, 58438, 96569, 54486, 55709, 101323]"
109784,"[91316, 84520, 104820, 85101, 83415, 91073, 6960, 17725, 106780, 5801]"
109785,"[5944, 4042, 28256, 107130, 88064, 81059, 30499, 94025, 12338, 39364]"
109786,"[47911, 42519, 21983, 3040, 28447, 108231, 70554, 64238, 101785, 43443]"
109787,"[19953, 64219, 19879, 8810, 104274, 89976, 29624, 61295, 104171, 59912]"
109788,"[53349, 17230, 18777, 66796, 102449, 53264, 35844, 28345, 99821, 39159]"
109789,"[40067, 8660, 89026, 47322, 100567, 47949, 104213, 64990, 99285, 64857]"
109790,"[39452, 1365, 91225, 49843, 1779, 82011, 88328, 99807, 10377, 32006]"
109791,"[55335, 31806, 64490, 61520, 38605, 46738, 44712, 3629, 27181, 5515]"
109792,"[31903, 44471, 57190, 46073, 47808, 59722, 103468, 13984, 33566, 80224]"
109793,"[109644, 4383, 21434, 58116, 8801, 68751, 82273, 83852, 8014, 27667]"
109794,"[4441, 91080, 14140, 3301, 88749, 1885, 92440, 66319, 81228, 96285]"
109795,"[15187, 16728, 18858, 52636, 2168, 43133, 18598, 96767, 41025, 55344]"
109796,"[43271, 28479, 52119, 79448, 30100, 19383, 59096, 50837, 43942, 12595]"
109797,"[68214, 15944, 34964, 84001, 86935, 38042, 66828, 35983, 33417, 33974]"
