Index,Index_list
109776,"[47258, 88353, 5332, 52778, 79822, 34151, 59609, 39104, 96517, 7688]"
109777,"[105353, 106992, 67136, 98313, 28204, 53862, 97426, 44042, 37383, 19824]"
109778,"[31137, 103177, 73695, 1455, 89511, 96854, 62251, 80861, 75580, 14328]"
109779,"[37568, 48556, 35290, 4566, 33630, 34652, 59861, 83779, 19631, 89387]"
109780,"[96443, 84688, 49239, 66795, 25845, 40062, 57928, 98597, 85141, 73036]"
109781,"[102931, 90249, 37835, 51049, 97538, 103815, 97797, 69175, 89893, 53512]"
109782,"[87823, 54184, 18186, 36462, 87025, 85111, 68916, 20557, 63014, 1803]"
109783,"[42740, 22443, 49936, 80403, 58438, 79150, 54486, 101323, 88508, 96569]"
109784,"[91316, 84520, 104820, 83415, 91073, 85101, 106780, 17725, 6960, 21685]"
109785,"[5944, 4042, 28256, 107130, 81059, 30499, 88064, 94025, 12338, 62243]"
109786,"[42519, 47911, 3040, 21983, 28447, 70554, 108231, 64238, 43443, 101785]"
109787,"[8810, 19953, 64219, 19879, 104274, 29624, 89976, 61295, 95013, 59912]"
109788,"[17230, 53349, 18777, 66796, 102449, 53264, 35844, 28345, 99821, 71810]"
109789,"[40067, 8660, 89026, 100567, 47322, 47949, 104213, 99285, 64990, 64857]"
109790,"[39452, 1365, 91225, 49843, 88328, 1779, 82011, 83757, 53230, 42477]"
109791,"[55335, 31806, 61520, 64490, 3629, 44712, 27181, 20876, 5515, 38605]"
109792,"[31903, 57190, 44471, 103468, 46073, 47808, 13984, 59722, 33566, 80224]"
109793,"[109644, 21434, 4383, 8801, 82273, 68751, 58116, 8014, 27667, 83852]"
109794,"[4441, 14140, 91080, 3301, 88749, 86088, 1885, 92440, 66319, 81228]"
109795,"[15187, 16728, 18858, 52636, 43133, 96767, 2168, 18598, 55344, 1045]"
109796,"[43271, 28479, 52119, 19383, 30100, 79448, 50837, 59096, 43942, 12595]"
109797,"[68214, 15944, 34964, 84001, 86935, 38042, 66828, 33974, 57212, 33417]"
109798,"[69551, 70616, 108395, 109122, 53378, 77597, 70926, 97807, 67685, 56956]"
109799,"[80731, 60252, 53019, 67994, 96339, 5663, 108654, 90370, 91190, 88444]"
109800,"[26751, 2306, 37790, 5738, 84192, 84476, 4694, 33436, 43387, 87445]"
109801,"[74139, 85051, 29125, 6346, 226, 33643, 58231, 108695, 6200, 62490]"
