Index,Index_list
109776,"[47258, 52778, 5332, 88353, 13203, 59881, 59609, 12750, 96517, 3502]"
109777,"[105353, 37383, 15823, 28204, 53862, 19824, 98313, 106992, 67136, 41236]"
109778,"[31137, 103177, 62251, 73695, 1455, 75580, 96854, 85105, 89511, 80861]"
109779,"[37568, 48556, 34652, 33630, 35290, 4566, 83779, 4973, 59861, 48172]"
109780,"[96443, 49239, 84688, 85141, 57928, 98597, 66795, 40062, 25845, 11808]"
109781,"[90249, 37835, 97538, 103815, 97797, 102931, 51049, 89893, 53512, 69175]"
109782,"[87823, 54184, 18186, 87025, 63014, 36462, 85111, 68916, 102121, 20557]"
109783,"[58438, 80403, 19817, 50017, 101323, 88508, 27533, 30138, 25087, 79150]"
109784,"[104820, 91316, 85101, 84520, 83415, 91073, 106780, 51973, 26601, 6960]"
109785,"[5944, 28256, 107130, 81059, 4042, 94025, 74246, 12671, 84962, 30499]"
109786,"[28447, 21983, 3040, 61069, 47911, 42519, 105530, 88726, 92203, 66827]"
109787,"[8810, 19953, 64219, 104274, 89976, 29624, 104171, 19879, 95013, 71817]"
109788,"[35844, 99821, 102449, 71810, 98004, 39159, 61383, 17230, 28345, 53264]"
109789,"[8660, 89026, 47949, 40067, 104213, 100567, 99285, 47322, 12990, 48523]"
109790,"[39452, 88328, 42477, 1365, 10377, 53230, 83757, 82011, 1779, 91225]"
109791,"[64490, 61520, 55335, 31806, 20876, 5515, 77123, 38605, 46738, 27621]"
109792,"[33566, 59722, 103468, 44471, 57190, 80224, 48483, 14212, 55166, 8508]"
109793,"[109644, 4383, 8801, 82273, 68751, 58116, 26603, 75369, 3735, 79073]"
109794,"[4441, 88749, 91080, 14140, 81228, 1885, 96285, 3301, 86088, 73279]"
109795,"[15187, 16728, 2168, 108413, 17673, 96767, 18598, 55344, 52636, 18858]"
109796,"[43271, 50805, 19383, 52119, 30100, 28479, 70273, 43942, 79448, 12595]"
109797,"[68214, 15944, 34964, 38042, 86935, 66828, 33974, 84001, 4154, 97827]"
109798,"[109122, 70926, 41919, 108395, 77597, 53378, 70616, 12676, 23265, 69551]"
