Index,Index_list
109776,"[47258, 71403, 105908, 83368, 94371, 29734, 54730, 19894, 82668, 5332]"
109777,"[8286, 47208, 5906, 53862, 105353, 67136, 106992, 22210, 10444, 98313]"
109778,"[98603, 38098, 31137, 71832, 12594, 50126, 38730, 29235, 74269, 105233]"
109779,"[37568, 4566, 48556, 33163, 98733, 70377, 72850, 77649, 105270, 103603]"
109780,"[84688, 106819, 96443, 9305, 9598, 49239, 58190, 3221, 46517, 41948]"
109781,"[90249, 102931, 97797, 97538, 51049, 37835, 3413, 97034, 48668, 7372]"
109782,"[87823, 18186, 80052, 54184, 69488, 56862, 80772, 41118, 89978, 58012]"
109783,"[14109, 58438, 12766, 42607, 80403, 79150, 88508, 101323, 103010, 96569]"
109784,"[84520, 85573, 5801, 68798, 105943, 95925, 83415, 85101, 20362, 91316]"
109785,"[4042, 79813, 19538, 31022, 9247, 12082, 5944, 17529, 30053, 22677]"
109786,"[40971, 41681, 802, 32487, 28447, 3040, 21983, 47911, 42519, 46452]"
109787,"[19879, 95311, 83800, 81404, 74337, 19953, 8810, 104274, 64219, 89976]"
109788,"[45730, 41390, 108458, 99821, 98268, 56857, 7291, 35844, 102449, 18777]"
109789,"[40067, 8660, 17036, 109190, 46179, 89026, 5455, 67752, 16118, 47949]"
109790,"[13407, 29227, 80926, 39452, 1365, 25403, 91795, 22956, 17985, 83840]"
109791,"[73849, 30987, 30616, 74038, 6492, 80044, 26002, 61520, 55335, 64490]"
109792,"[64489, 27365, 80661, 39554, 13198, 31903, 89350, 26788, 77202, 19438]"
109793,"[27363, 52385, 109644, 4383, 82071, 105702, 102849, 20363, 42976, 16168]"
109794,"[4441, 29743, 3301, 10159, 15779, 86088, 32125, 91080, 93782, 45230]"
109795,"[15187, 52636, 18858, 80487, 16728, 18598, 92895, 2168, 43133, 50708]"
109796,"[6342, 43271, 109491, 17482, 52119, 14222, 28479, 44324, 49893, 19115]"
109797,"[94401, 15944, 98125, 23909, 68214, 76109, 89203, 98098, 7812, 78194]"
109798,"[5326, 56095, 109122, 70616, 78308, 69551, 108395, 60016, 10680, 5181]"
109799,"[60252, 80731, 53019, 90422, 26899, 17841, 55656, 67994, 13030, 82917]"
109800,"[136, 46465, 27454, 99654, 48543, 74458, 33436, 57994, 26751, 2306]"
109801,"[58231, 87303, 102547, 74342, 62490, 33643, 90925, 100361, 28497, 10089]"
109802,"[26000, 90602, 67865, 64587, 38132, 36890, 12081, 84713, 29294, 38958]"
109803,"[77486, 16062, 57636, 78981, 30424, 30865, 5794, 57129, 31172, 67479]"
109804,"[31025, 61312, 12234, 52110, 87847, 91757, 69269, 96601, 41334, 44695]"
109805,"[44305, 20161, 5400, 74124, 90260, 23904, 44064, 86909, 32741, 73335]"
109806,"[33956, 97798, 102821, 92585, 108948, 61491, 107152, 23674, 42127, 23011]"
