Index,Index_list
109776,"[47258, 88353, 5332, 82668, 29734, 54730, 19894, 94371, 52778, 79822]"
109777,"[105353, 106992, 67136, 28204, 98313, 53862, 44042, 37383, 19824, 10444]"
109778,"[31137, 103177, 73695, 1455, 98603, 38098, 96854, 34689, 50126, 89511]"
109779,"[37568, 48556, 35290, 4566, 72850, 70377, 103603, 34652, 33630, 59861]"
109780,"[96443, 84688, 49239, 106819, 9305, 98597, 57928, 85141, 66795, 3221]"
109781,"[102931, 90249, 51049, 37835, 97538, 103815, 97797, 69175, 89893, 53512]"
109782,"[87823, 54184, 18186, 80772, 56862, 36462, 87025, 80052, 68916, 85111]"
109783,"[80403, 12766, 49936, 42740, 22443, 42607, 58438, 79150, 54486, 88508]"
109784,"[91316, 84520, 104820, 51951, 22105, 105943, 83415, 49360, 91073, 85101]"
109785,"[5944, 4042, 28256, 107130, 81059, 30499, 19538, 9247, 79813, 12082]"
109786,"[28447, 21983, 3040, 40971, 42519, 47911, 15735, 81225, 61069, 32969]"
109787,"[8810, 19953, 64219, 19879, 104274, 89976, 29624, 74337, 81404, 95013]"
109788,"[17230, 98268, 102449, 53264, 35844, 99821, 28345, 71810, 61383, 18777]"
109789,"[8660, 40067, 89026, 100567, 47949, 17036, 16118, 86273, 104213, 39645]"
109790,"[39452, 1365, 13407, 88328, 25403, 80926, 1779, 49843, 83757, 53230]"
109791,"[55335, 31806, 74038, 30987, 61520, 64490, 33617, 50705, 19323, 97410]"
109792,"[31903, 80661, 27365, 44471, 57190, 103468, 64489, 59722, 83467, 90934]"
109793,"[109644, 52385, 4383, 82273, 8801, 68751, 21434, 42976, 18517, 105702]"
109794,"[4441, 14140, 88749, 3301, 91080, 26579, 35412, 45230, 93782, 57694]"
109795,"[15187, 16728, 18858, 52636, 96767, 80487, 2168, 55344, 43133, 18598]"
109796,"[43271, 6342, 52119, 28479, 19383, 30100, 19115, 17482, 82204, 14222]"
109797,"[68214, 94401, 34964, 15944, 86935, 38042, 7812, 108338, 66828, 84001]"
109798,"[70616, 108395, 69551, 109122, 53378, 97807, 70926, 77597, 41919, 12676]"
109799,"[60252, 80731, 53019, 67994, 5663, 96339, 91190, 17841, 82917, 26899]"
109800,"[26751, 2306, 46465, 27454, 37790, 5738, 41438, 50932, 46070, 84148]"
109801,"[74139, 85051, 29125, 100361, 10089, 90925, 28497, 6346, 33643, 226]"
109802,"[38958, 36890, 84713, 29294, 26000, 90602, 18895, 83550, 92979, 63043]"
109803,"[57636, 77486, 30151, 103406, 76676, 83477, 72769, 8471, 13365, 16062]"
109804,"[31025, 61312, 91757, 52110, 87847, 12234, 96601, 51912, 11841, 107337]"
109805,"[5400, 44305, 20161, 74124, 44064, 33212, 17637, 23904, 97949, 65476]"
109806,"[108948, 46122, 92585, 9765, 42127, 73255, 590, 71614, 90665, 36663]"
109807,"[16587, 22276, 16387, 63910, 72575, 21668, 90326, 70528, 27659, 58849]"
109808,"[107829, 21192, 75390, 10343, 5758, 65598, 16492, 26748, 585, 54753]"
109809,"[56714, 69486, 46207, 27184, 93496, 62359, 71450, 66731, 24869, 28603]"
109810,"[16688, 83138, 95198, 36518, 107570, 14610, 27286, 9766, 61191, 98217]"
109811,"[108497, 61790, 107949, 38970, 89322, 45754, 80456, 1853, 56651, 89627]"
109812,"[2252, 71738, 103645, 36876, 11557, 9541, 71374, 70400, 87146, 49815]"
