Index,Index_list
109776,"[47258, 88353, 82668, 29734, 54730, 19894, 94371, 52778, 5332, 79822]"
109777,"[105353, 44042, 28204, 28477, 53862, 67136, 106992, 15823, 37383, 19824]"
109778,"[31137, 103177, 98603, 1455, 73695, 38098, 96854, 62251, 34689, 50126]"
109779,"[37568, 48556, 4566, 35290, 72850, 70377, 103603, 33630, 34652, 50655]"
109780,"[96443, 84688, 49239, 106819, 9305, 85141, 24801, 66795, 41948, 98597]"
109781,"[90249, 102931, 97538, 51049, 37835, 103815, 97797, 38767, 51183, 69175]"
109782,"[87823, 54184, 80772, 56862, 18186, 87025, 82203, 26028, 94760, 58012]"
109783,"[12766, 80403, 42740, 49936, 22443, 42607, 58438, 79150, 88508, 101323]"
109784,"[91316, 22105, 51951, 105943, 49360, 18822, 106780, 84520, 104820, 83415]"
109785,"[5944, 28256, 107130, 4042, 81059, 21874, 88554, 94025, 38471, 22677]"
109786,"[40971, 28447, 42519, 3040, 21983, 47911, 15735, 81225, 61069, 26083]"
109787,"[8810, 104274, 19953, 64219, 19879, 74337, 81404, 104171, 89976, 29624]"
109788,"[98268, 102449, 35844, 99821, 17230, 53264, 18777, 53349, 66796, 28345]"
109789,"[8660, 40067, 89026, 100567, 47322, 47949, 17036, 16118, 86273, 39645]"
109790,"[39452, 25403, 1365, 80926, 13407, 22956, 49843, 91225, 88328, 42477]"
109791,"[74038, 30987, 55335, 31806, 61520, 64490, 20876, 33617, 50705, 80044]"
109792,"[31903, 27365, 80661, 57190, 44471, 103468, 46073, 47808, 72460, 33566]"
109793,"[109644, 52385, 4383, 21434, 82273, 8801, 68751, 67010, 42976, 18517]"
109794,"[4441, 14140, 88749, 26579, 45230, 93782, 35412, 35963, 3301, 91080]"
109795,"[15187, 16728, 18858, 52636, 80487, 2168, 96767, 43133, 18598, 55344]"
109796,"[43271, 52119, 6342, 19115, 28479, 19383, 50805, 30100, 50837, 93264]"
109797,"[68214, 94401, 15944, 34964, 86935, 38042, 7812, 108338, 84001, 78194]"
109798,"[70616, 69551, 109122, 108395, 53378, 70926, 77597, 97807, 41919, 67685]"
109799,"[60252, 80731, 53019, 67994, 96339, 5663, 82917, 55656, 91190, 35067]"
109800,"[46465, 26751, 27454, 2306, 37790, 41438, 43387, 5738, 50932, 46070]"
109801,"[74139, 85051, 29125, 100361, 10089, 90925, 28497, 226, 33643, 93811]"
109802,"[38958, 36890, 29294, 84713, 83550, 92979, 26000, 90602, 18895, 52922]"
109803,"[57636, 77486, 83477, 103406, 30151, 76676, 8471, 30865, 13365, 94920]"
109804,"[31025, 61312, 91757, 52110, 12234, 87847, 96601, 11841, 51912, 107337]"
109805,"[5400, 20161, 44305, 74435, 23904, 74124, 33212, 44064, 17637, 65476]"
109806,"[108948, 46122, 9765, 42127, 92585, 71614, 33956, 23011, 590, 73255]"
109807,"[16587, 63910, 16387, 22276, 72575, 3887, 29159, 31756, 70528, 21668]"
109808,"[107829, 21192, 75390, 10343, 5758, 65598, 16492, 585, 26748, 54753]"
109809,"[56714, 46207, 69486, 66731, 24869, 27184, 28603, 31005, 93496, 78747]"
109810,"[16688, 83138, 95198, 36518, 14610, 107570, 61191, 31360, 15396, 58423]"
109811,"[108497, 61790, 107949, 89322, 45754, 38970, 80456, 1853, 56651, 89627]"
109812,"[71738, 103645, 36876, 9541, 2252, 11557, 96176, 70400, 71374, 87146]"
109813,"[84720, 24787, 82012, 30169, 88275, 19444, 69776, 34584, 10579, 48992]"
109814,"[108126, 46787, 64205, 48765, 11482, 79428, 108812, 91402, 86943, 65204]"
109815,"[65622, 41776, 52604, 48709, 101091, 31315, 101382, 81295, 27879, 60317]"
109816,"[69701, 17908, 63543, 308, 85274, 6239, 92690, 64382, 14941, 96037]"
109817,"[43556, 95107, 27451, 65329, 13833, 24736, 47604, 23102, 12077, 77570]"
109818,"[60389, 66348, 37931, 33474, 92275, 21622, 87805, 32134, 108003, 14602]"
109819,"[22473, 97032, 90983, 87273, 78890, 20480, 41884, 58666, 100933, 45231]"
109820,"[78980, 33284, 1493, 104946, 45795, 57369, 7573, 80602, 40670, 97355]"
109821,"[52763, 33098, 107150, 54170, 20553, 97269, 35474, 86759, 5371, 46213]"
109822,"[85889, 68921, 5490, 4377, 109658, 54956, 79226, 58962, 94389, 54537]"
109823,"[19383, 91059, 39434, 12595, 79448, 43942, 70273, 52119, 58052, 43271]"
109824,"[102042, 26438, 92575, 8453, 23253, 102780, 3122, 92449, 32444, 97598]"
109825,"[80509, 10589, 68908, 3343, 98059, 107260, 88784, 45854, 41240, 47653]"
109826,"[30745, 34289, 17993, 8408, 69792, 4094, 65587, 35820, 5114, 59965]"
109827,"[36767, 17024, 14364, 38085, 90870, 2018, 72395, 47474, 100359, 106833]"
109828,"[96879, 104755, 89284, 5064, 41300, 34065, 68128, 1862, 73719, 15303]"
109829,"[108742, 62848, 14106, 71430, 97403, 89556, 55961, 36673, 44282, 21670]"
109830,"[63875, 67879, 37566, 100881, 43565, 70168, 76743, 106530, 34415, 43491]"
109831,"[98544, 89877, 79295, 78038, 56870, 96007, 13482, 16652, 37130, 85420]"
109832,"[100179, 89632, 102381, 37575, 92202, 2921, 18546, 27364, 24734, 103560]"
109833,"[13676, 92613, 89764, 104106, 67379, 48884, 26747, 89989, 88917, 64290]"
109834,"[92885, 12038, 95558, 76053, 55326, 92784, 43073, 80332, 25685, 45930]"
