Index,Index_list
109776,"[47258, 88353, 5332, 82668, 29734, 54730, 19894, 94371, 52778, 79822]"
109777,"[105353, 67136, 106992, 28204, 98313, 53862, 19824, 44042, 37383, 28477]"
109778,"[31137, 103177, 73695, 1455, 98603, 38098, 34689, 96854, 50126, 105233]"
109779,"[37568, 48556, 35290, 4566, 72850, 59861, 70377, 103603, 33630, 34652]"
109780,"[96443, 84688, 49239, 106819, 9305, 98597, 57928, 85141, 66795, 41948]"
109781,"[102931, 90249, 51049, 37835, 97538, 103815, 97797, 69175, 89893, 53512]"
109782,"[87823, 54184, 18186, 80772, 56862, 36462, 87025, 63014, 68916, 85111]"
109783,"[80403, 58438, 12766, 42740, 49936, 22443, 42607, 54486, 79150, 88508]"
109784,"[91316, 84520, 104820, 22105, 51951, 105943, 83415, 91073, 49360, 85101]"
109785,"[5944, 4042, 28256, 107130, 81059, 30499, 19538, 9247, 79813, 12082]"
109786,"[28447, 21983, 3040, 40971, 42519, 47911, 61069, 105530, 15735, 81225]"
109787,"[8810, 19953, 64219, 19879, 104274, 29624, 89976, 95013, 74337, 81404]"
109788,"[17230, 98268, 102449, 35844, 99821, 53264, 28345, 61383, 71810, 39159]"
109789,"[8660, 40067, 89026, 100567, 47949, 17036, 16118, 86273, 104213, 39645]"
109790,"[39452, 1365, 13407, 88328, 53230, 83757, 1779, 25403, 82011, 42477]"
109791,"[55335, 31806, 74038, 30987, 61520, 64490, 20876, 33617, 50705, 19323]"
109792,"[27365, 80661, 31903, 57190, 44471, 103468, 64489, 83467, 90934, 26788]"
109793,"[109644, 82273, 8801, 52385, 68751, 4383, 21434, 11541, 75369, 42976]"
109794,"[4441, 14140, 88749, 3301, 26579, 35412, 45230, 93782, 35963, 86088]"
109795,"[15187, 16728, 18858, 52636, 96767, 55344, 80487, 2168, 1045, 18598]"
109796,"[43271, 6342, 52119, 28479, 30100, 19115, 19383, 17482, 82204, 50805]"
109797,"[68214, 34964, 15944, 94401, 86935, 38042, 66828, 33974, 7812, 108338]"
109798,"[108395, 70616, 109122, 53378, 70926, 97807, 77597, 69551, 41919, 12676]"
