Index,Index_list
109776,"[47258, 82668, 29734, 54730, 19894, 94371, 88353, 52778, 5332, 105908]"
109777,"[10444, 67136, 106992, 8286, 47208, 94927, 5906, 105353, 34244, 98313]"
109778,"[98603, 38098, 31137, 34689, 50126, 1455, 73695, 105233, 103177, 101241]"
109779,"[37568, 48556, 72850, 4566, 35290, 103603, 70377, 33163, 19893, 32984]"
109780,"[106819, 96443, 84688, 9305, 67536, 49239, 41948, 3221, 1734, 34005]"
109781,"[102931, 90249, 38767, 51183, 36781, 46344, 58815, 63049, 39372, 51049]"
109782,"[87823, 56862, 54184, 80772, 18186, 80052, 35124, 58012, 3853, 55936]"
109783,"[12766, 42607, 22443, 42740, 49936, 80403, 14109, 79150, 88508, 101323]"
109784,"[51951, 22105, 105943, 49360, 18822, 84520, 91316, 9289, 69783, 95925]"
109785,"[12082, 4042, 9247, 19538, 5944, 31022, 79813, 30053, 88554, 22677]"
109786,"[40971, 3040, 21983, 42519, 28447, 47911, 15735, 81225, 802, 41681]"
109787,"[74337, 19879, 8810, 19953, 81404, 64219, 83800, 95311, 104274, 29624]"
109788,"[98268, 7291, 11965, 58278, 83313, 81486, 31, 41390, 102449, 57651]"
109789,"[40067, 8660, 17036, 67752, 5455, 16118, 32455, 86273, 39645, 87618]"
109790,"[13407, 39452, 25403, 1365, 29227, 80926, 59754, 22956, 91795, 57048]"
109791,"[74038, 30987, 55335, 30616, 6492, 80044, 26002, 33617, 50705, 19323]"
109792,"[27365, 80661, 31903, 64489, 13198, 83467, 90934, 39554, 26788, 33829]"
109793,"[109644, 52385, 42976, 18517, 27363, 16168, 102849, 105702, 35331, 29836]"
109794,"[4441, 26579, 45230, 93782, 35412, 35963, 29743, 57694, 3301, 109107]"
109795,"[15187, 18858, 52636, 80487, 16728, 96767, 73212, 2168, 59509, 92895]"
109796,"[6342, 43271, 17482, 14222, 19115, 28479, 52119, 69691, 50294, 53397]"
109797,"[94401, 68214, 7812, 108338, 78194, 15944, 34964, 76109, 98125, 23909]"
109798,"[70616, 5326, 56095, 69551, 78308, 109122, 92730, 108395, 5181, 56898]"
109799,"[60252, 80731, 53019, 17841, 67994, 26899, 96339, 82917, 90422, 55656]"
109800,"[46465, 27454, 50932, 48543, 74458, 26751, 57994, 136, 99654, 46070]"
109801,"[58231, 100361, 10089, 90925, 74139, 85051, 28497, 29125, 33643, 62490]"
109802,"[38958, 36890, 29294, 84713, 26000, 90602, 64587, 67865, 38132, 11270]"
109803,"[77486, 57636, 16062, 78981, 30424, 31172, 32210, 57129, 41441, 105490]"
109804,"[31025, 61312, 91757, 52110, 96601, 87847, 12234, 41334, 69269, 107337]"
109805,"[20161, 5400, 44305, 73335, 32741, 90058, 90260, 74124, 44064, 21882]"
109806,"[108948, 42127, 9765, 46122, 71614, 33956, 23011, 61491, 23674, 90665]"
109807,"[22276, 16387, 16587, 27659, 88339, 70528, 70296, 78771, 58849, 3887]"
109808,"[10343, 5758, 54753, 65598, 16492, 107829, 585, 86386, 89639, 78332]"
109809,"[56714, 24869, 28603, 31005, 78747, 69486, 5925, 46207, 11018, 17698]"
109810,"[95198, 16688, 27286, 83138, 9766, 36518, 58423, 14610, 61191, 98217]"
109811,"[31619, 45754, 6973, 61790, 108497, 56651, 89627, 107949, 56012, 8199]"
109812,"[71738, 70400, 103645, 36876, 87146, 50649, 49815, 2252, 71374, 9541]"
