Index,Index_list
109776,"[47258, 88353, 5332, 52778, 79822, 34151, 59609, 39104, 96517, 7688]"
109777,"[105353, 106992, 67136, 98313, 28204, 53862, 97426, 44042, 37383, 19824]"
109778,"[31137, 103177, 1455, 73695, 96854, 89511, 98603, 62251, 75580, 38098]"
109779,"[37568, 48556, 35290, 4566, 33630, 34652, 59861, 83779, 19631, 89387]"
109780,"[96443, 84688, 49239, 66795, 98597, 57928, 106819, 85141, 25845, 40062]"
109781,"[102931, 90249, 37835, 51049, 97538, 103815, 97797, 69175, 89893, 53512]"
109782,"[87823, 54184, 18186, 36462, 87025, 85111, 68916, 63014, 20557, 56862]"
109783,"[80403, 22443, 42740, 49936, 58438, 79150, 54486, 101323, 88508, 96569]"
109784,"[91316, 84520, 104820, 83415, 91073, 85101, 106780, 17725, 6960, 21685]"
109785,"[5944, 4042, 28256, 107130, 81059, 30499, 94025, 88064, 62243, 12338]"
109786,"[21983, 3040, 28447, 42519, 47911, 108231, 64238, 70554, 61069, 40971]"
109787,"[8810, 19953, 64219, 19879, 104274, 29624, 89976, 61295, 95013, 104171]"
109788,"[17230, 102449, 53264, 35844, 53349, 99821, 28345, 18777, 66796, 71810]"
109789,"[40067, 8660, 89026, 100567, 47949, 47322, 104213, 17036, 99285, 16118]"
109790,"[39452, 1365, 88328, 91225, 49843, 1779, 82011, 53230, 83757, 42477]"
109791,"[55335, 31806, 61520, 64490, 20876, 3629, 74038, 44712, 27181, 46738]"
109792,"[31903, 44471, 57190, 103468, 59722, 46073, 47808, 80661, 27365, 13984]"
109793,"[109644, 4383, 21434, 8801, 82273, 68751, 58116, 8014, 27667, 83852]"
109794,"[4441, 14140, 91080, 3301, 88749, 86088, 1885, 81228, 96285, 92440]"
109795,"[15187, 16728, 18858, 52636, 96767, 2168, 43133, 18598, 55344, 1045]"
109796,"[43271, 28479, 52119, 19383, 30100, 79448, 43942, 12595, 50805, 50837]"
109797,"[68214, 15944, 34964, 86935, 38042, 84001, 66828, 33974, 94401, 57212]"
109798,"[70616, 108395, 69551, 109122, 53378, 77597, 70926, 97807, 67685, 56956]"
109799,"[80731, 60252, 53019, 67994, 5663, 96339, 91190, 90370, 40787, 108654]"
109800,"[26751, 2306, 37790, 5738, 43387, 41438, 84192, 84476, 84148, 4694]"
109801,"[74139, 85051, 29125, 6346, 33643, 58231, 108695, 226, 62490, 6200]"
