Index,Index_list
109776,"[47258, 88353, 5332, 52778, 29734, 54730, 82668, 19894, 94371, 79822]"
109777,"[105353, 106992, 67136, 98313, 97426, 28204, 44042, 53862, 37383, 5906]"
109778,"[31137, 103177, 73695, 1455, 98603, 38098, 89511, 34689, 62251, 50126]"
109779,"[37568, 48556, 35290, 4566, 34652, 33630, 103603, 70377, 72850, 59861]"
109780,"[96443, 84688, 49239, 106819, 66795, 9305, 25845, 40062, 41948, 98597]"
109781,"[102931, 90249, 37835, 51049, 97538, 103815, 97797, 69175, 17413, 89893]"
109782,"[87823, 54184, 18186, 56862, 80772, 87025, 58012, 1803, 62699, 63014]"
109783,"[49936, 42740, 22443, 80403, 58438, 12766, 42607, 79150, 54486, 101323]"
109784,"[91316, 84520, 104820, 83415, 91073, 85101, 106780, 22105, 51951, 105943]"
109785,"[5944, 4042, 28256, 107130, 81059, 88064, 9247, 19538, 79813, 94025]"
109786,"[42519, 47911, 3040, 21983, 28447, 40971, 64238, 108231, 70554, 43443]"
109787,"[8810, 19953, 64219, 104274, 19879, 29624, 89976, 74337, 59912, 95013]"
109788,"[53349, 18777, 66796, 102449, 35844, 99821, 17230, 98268, 53264, 28345]"
109789,"[8660, 40067, 17036, 89026, 100567, 47322, 47949, 16118, 86273, 5455]"
109790,"[39452, 1365, 91225, 49843, 13407, 88328, 99807, 42477, 1779, 25403]"
109791,"[55335, 74038, 31806, 61520, 64490, 30987, 3629, 44712, 27181, 46738]"
109792,"[31903, 80661, 27365, 44471, 57190, 46073, 47808, 64489, 13984, 103468]"
109793,"[109644, 21434, 4383, 8801, 82273, 68751, 52385, 58116, 8014, 27667]"
109794,"[4441, 88749, 14140, 91080, 3301, 45230, 93782, 26579, 35412, 86088]"
109795,"[15187, 16728, 52636, 18858, 43133, 96767, 2168, 18598, 55344, 80487]"
109796,"[43271, 28479, 52119, 6342, 19383, 30100, 50837, 50805, 17482, 19115]"
109797,"[68214, 15944, 34964, 84001, 94401, 7812, 86935, 38042, 108338, 66828]"
109798,"[69551, 70616, 108395, 109122, 53378, 77597, 70926, 56956, 97807, 41919]"
109799,"[60252, 80731, 53019, 67994, 96339, 5663, 90370, 88444, 17841, 26899]"
109800,"[26751, 2306, 46465, 37790, 27454, 84192, 84476, 4694, 41438, 5738]"
109801,"[85051, 74139, 29125, 100361, 90925, 10089, 6200, 33643, 58231, 108695]"
109802,"[92979, 83550, 36890, 26000, 38958, 90602, 29294, 84713, 18895, 63043]"
109803,"[57636, 77486, 30151, 103406, 83477, 5794, 67479, 42770, 76676, 8437]"
109804,"[31025, 61312, 91757, 52110, 87847, 12234, 51912, 11841, 96601, 57666]"
109805,"[5400, 44305, 23904, 44064, 74124, 33212, 20161, 17637, 74435, 97949]"
109806,"[108948, 46122, 92585, 42127, 9765, 590, 36663, 91015, 12513, 32756]"
109807,"[16587, 22276, 16387, 63910, 72575, 70528, 27659, 32630, 78771, 50741]"
109808,"[107829, 21192, 10343, 5758, 65598, 75390, 16492, 585, 26748, 51110]"
109809,"[56714, 69486, 46207, 27184, 66731, 93496, 24869, 71450, 62359, 28603]"
109810,"[16688, 83138, 95198, 36518, 14610, 107570, 31360, 61191, 29568, 98217]"
109811,"[108497, 89322, 61790, 80456, 1853, 107949, 38970, 29958, 45754, 56651]"
109812,"[9541, 2252, 103645, 71738, 36876, 11557, 70400, 87146, 52679, 49815]"
