Index,Index_list
109776,"[47258, 88353, 52778, 29734, 54730, 19894, 82668, 5332, 94371, 79822]"
109777,"[105353, 67136, 106992, 44042, 98313, 28204, 53862, 97426, 37383, 28477]"
109778,"[31137, 98603, 38098, 103177, 1455, 73695, 89511, 62251, 34689, 80861]"
109779,"[37568, 48556, 35290, 4566, 33630, 34652, 103603, 70377, 72850, 59861]"
109780,"[96443, 106819, 84688, 49239, 9305, 66795, 85141, 25845, 40062, 3221]"
109781,"[102931, 90249, 37835, 51049, 97538, 103815, 97797, 69175, 58815, 46344]"
109782,"[87823, 54184, 18186, 56862, 80772, 87025, 36462, 63014, 26028, 1803]"
109783,"[42740, 49936, 22443, 80403, 12766, 42607, 58438, 54486, 79150, 101323]"
109784,"[91316, 84520, 104820, 83415, 91073, 85101, 51951, 22105, 105943, 106780]"
109785,"[5944, 28256, 107130, 4042, 30499, 81059, 94025, 88064, 9247, 19538]"
109786,"[42519, 47911, 3040, 21983, 40971, 28447, 70554, 108231, 64238, 61069]"
109787,"[8810, 19953, 64219, 104274, 19879, 74337, 61295, 29624, 89976, 104171]"
109788,"[53349, 18777, 66796, 17230, 102449, 98268, 35844, 99821, 53264, 28345]"
109789,"[8660, 40067, 47322, 89026, 17036, 100567, 47949, 16118, 86273, 104213]"
109790,"[39452, 91225, 49843, 13407, 1365, 88328, 25403, 80926, 10377, 22956]"
109791,"[55335, 31806, 74038, 30987, 61520, 64490, 3629, 44712, 27181, 5515]"
109792,"[31903, 27365, 80661, 44471, 57190, 103468, 59722, 64489, 46073, 47808]"
109793,"[109644, 21434, 4383, 52385, 8801, 82273, 68751, 58116, 27667, 8014]"
109794,"[4441, 14140, 88749, 45230, 93782, 26579, 91080, 35412, 35963, 3301]"
109795,"[15187, 16728, 43133, 52636, 18858, 80487, 96767, 2168, 18598, 41025]"
109796,"[43271, 6342, 28479, 52119, 50837, 19383, 19115, 30100, 50805, 82204]"
109797,"[68214, 94401, 15944, 34964, 84001, 7812, 86935, 38042, 108338, 66828]"
109798,"[70616, 69551, 108395, 109122, 67685, 53378, 77597, 70926, 56956, 97807]"
109799,"[60252, 53019, 80731, 96339, 67994, 5663, 90370, 88444, 17841, 26899]"
109800,"[46465, 26751, 27454, 2306, 37790, 84476, 84192, 4694, 41438, 5738]"
109801,"[85051, 74139, 29125, 100361, 10089, 90925, 28497, 226, 108695, 6200]"
109802,"[83550, 92979, 36890, 38958, 29294, 84713, 26000, 90602, 18895, 63043]"
109803,"[57636, 77486, 76676, 83477, 30151, 103406, 5794, 67479, 42770, 72769]"
109804,"[31025, 61312, 91757, 52110, 87847, 12234, 96601, 51912, 11841, 67394]"
109805,"[5400, 44305, 23904, 20161, 33212, 44064, 74435, 74124, 17637, 46315]"
109806,"[108948, 46122, 42127, 92585, 9765, 36663, 32756, 25873, 73255, 103658]"
109807,"[16587, 22276, 16387, 63910, 72575, 10391, 21668, 70528, 27659, 32630]"
109808,"[107829, 21192, 10343, 5758, 65598, 75390, 16492, 51110, 585, 86386]"
109809,"[56714, 46207, 69486, 27184, 71450, 62359, 24869, 66731, 93496, 28603]"
109810,"[16688, 83138, 95198, 36518, 107570, 14610, 31360, 61191, 29568, 15396]"
